Jameco Shopping List "Lisa I/O Board Chips"
www.Jameco.com
1-800-831-4242
Export Date,10/13/2022


Jameco Part Number, Description, Manufacturer, Manufacturer Number, Quantity, Unit Cost, Link
12634,"IC,CD4011,DIP-14, QUAD 2-INPUT","Major Brands","CD4011B","1.0","$0.59","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=12634&langId=-1"
23157,"IC,SN75188N,DUAL QUAD LINE DRI","National Semiconductor","SN75188N","1.0","$0.49","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=23157&langId=-1"
23181,"IC,SN75189N,QUAD LINE RECEIVER","National Semiconductor","SN75189N","1.0","$0.49","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=23181&langId=-1"
33216,"IC,TL074CN,DIP-14, LOW POWER J","Major Brands","TL074CN","1.0","$0.69","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=33216&langId=-1"
38973,"IC,SRAM,2114N-2 5V,1KX4,DIP-18","Major Brands","2114N-2","2.0","$3.95","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=38973&langId=-1"
40125,"IC,EPROM,2732A-25,5V 4kx8,DIP-","Major Brands","2732A-25","1.0","$6.95","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=40125&langId=-1"
46252,"IC,74LS00,DIP-14,QUAD 2-INPUT","Major Brands","74LS00","2.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46252&langId=-1"
46316,"IC,74LS04N,DIP-14,HEX INVERTER","Major Brands","74LS04","3.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46316&langId=-1"
46391,"IC,74LS09N,DIP-14,QUAD 2-INPUT","Major Brands","74LS09","1.0","$0.79","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46391&langId=-1"
46421,"IC,74LS109N,DIP-16, DUAL J-K B","Major Brands","74LS109","2.0","$1.59","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46421&langId=-1"
46551,"IC,74LS132N,DIP-14,QUAD 2INPUT","Major Brands","74LS132","1.0","$1.29","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46551&langId=-1"
46623,"IC,74LS139N,DIP-16,DUAL 2-TO-4","Major Brands","74LS139","2.0","$0.95","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46623&langId=-1"
46720,"IC,74LS153N,DIP-16,DUAL 4-TO-1","Major Brands","74LS153","1.0","$0.99","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46720&langId=-1"
46771,"IC,74LS157N,DIP-16, QUAD 2-TO-","Major Brands","74LS157","3.0","$0.99","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46771&langId=-1"
46818,"IC,74LS161N,DIP-16, 4BIT SYNCH","Major Brands","74LS161","1.0","$0.95","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46818&langId=-1"
46931,"IC,74LS174N,DIP-16, HEX D-TYPE","Major Brands","74LS174","1.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=46931&langId=-1"
47183,"IC,74LS244N,DIP-20,TRI-STATE O","National Semiconductor","74LS244","1.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47183&langId=-1"
47212,"IC,74LS245N,DIP-20, TRI-STATE","Major Brands","74LS245","3.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47212&langId=-1"
47327,"IC,74LS259N,DIP-16, 8-BIT ADDR","Major Brands","74LS259","1.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47327&langId=-1"
47466,"IC,74LS32N,DIP-14, QUAD 2-INPU","Major Brands","74LS32","1.0","$0.69","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47466&langId=-1"
47693,"IC,QUAD 2-INPUT NAND BUFFER, 1","Major Brands","74LS38","2.0","$0.99","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47693&langId=-1"
47731,"IC,74LS393N,DIP-14, DUAL 4-BIT","Major Brands","74LS393","1.0","$1.29","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=47731&langId=-1"
48098,"IC,74LS86N,DIP-14, QUAD 2-INPU","Major Brands","74LS86","1.0","$0.95","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=48098&langId=-1"
49120,"IC,7407N,DIP-14,HEX BUFFER/DRI","Major Brands","7407","1.0","$1.09","https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&catalogId=10001&productId=49120&langId=-1"
